TransactionID,TransactionAmount,CardHolder,CardNumber,TransactionDate,Merchant,IsFraud
73,3.755536444677597,William Brown,2720453870202245,2023-07-08 13:59:59.725132,Simmons Ltd,0
74,407.91525279896223,Felicia Crawford,5471476794139510,2023-06-19 22:45:33.783704,"Murray, Stewart and Davis",0
75,353.72181457996095,Michael Cannon,5249427210874397,2023-11-13 20:31:45.676692,Jenkins Inc,1
76,364.77457685245264,Daniel Doyle,2284530343149968,2023-09-16 04:57:22.418620,Romero Group,0
77,385.8639029962869,Scott Thompson,5349594925160484,2023-08-24 06:44:31.954514,"Pearson, Terrell and Garcia",0
78,37.94828121531109,Diane Turner,2701486143385986,2023-10-21 04:52:16.987878,Johnston and Sons,0
79,179.87439854359204,Lauren Hardy,2235768567403329,2023-09-24 02:44:22.992648,Miller-Sanchez,0
80,58.818660703039725,Terry Cole,5472577495266350,2023-08-03 23:46:38.887937,Madden Ltd,0
81,431.6886095119212,William Richardson,2289676962183583,2022-12-27 00:53:07.322801,Sanchez-Berger,0
82,312.0257652869514,Brittany Stewart,2714009382387920,2022-12-07 10:38:50.043894,Hunt Ltd,0
83,166.11811440147196,Tammy Fischer,2224832748111590,2023-08-31 23:06:31.905189,"Zavala, Wilkerson and Stewart",0
84,32.7156167927258,Denise Kelly,5100513053328019,2022-12-15 14:34:25.040479,"Powell, Russell and Wilson",0
85,156.18017853611545,Brenda Baker,2231564230628580,2023-08-28 15:44:16.190020,Higgins-Green,0
86,163.26647769134678,Anthony Taylor,2716794268079877,2023-10-21 22:03:12.443393,Rosario LLC,0
87,365.07348299069395,Julia Kerr,2705621614564737,2023-09-30 18:53:34.382701,Stewart-Mason,0
88,319.14117820625137,Shannon Benjamin,2268153122143647,2023-10-19 17:15:37.265928,Davis Inc,0
89,443.71915854558694,Michelle Jefferson,2279801734363303,2022-12-23 05:02:59.471370,"Gordon, Woods and Mora",1
90,236.6352476558127,Samantha Smith,5449538768161637,2023-10-28 02:33:17.048176,Harding-Mendoza,0
91,60.677528723212546,Bryan Juarez,2720262988008661,2023-04-25 21:51:22.721747,Pacheco LLC,0
92,356.9091488242745,Laura Barnes,5442593541339130,2023-05-08 22:26:59.009362,Castaneda-Lee,0
93,380.6317392598318,Luke Flowers,2625627999896054,2023-11-30 23:15:59.396744,Mcclure and Sons,0
94,281.07732158717863,Kyle Adkins,2325789982258552,2023-07-13 10:02:22.325387,"Haynes, Beasley and Johnson",0
95,385.71262279732593,Alicia Williams,2709404297722872,2023-07-05 05:06:09.956178,"Vazquez, Fuller and Gordon",0
96,247.404002585831,Tara Robinson,5320117848442723,2022-12-29 01:09:21.521936,"Nelson, Moore and Robbins",0
97,261.84368186161504,Misty Bradford,5192823225768821,2023-08-27 19:35:36.534180,"Johnson, Fox and Brown",0
98,214.34296816091626,Sheri Brown,2592880433520157,2023-11-16 10:39:45.924419,"Simon, Griffin and Pitts",0
99,13.684144245303498,Paul Griffin,2263919862646535,2023-07-06 03:37:02.168547,"Campbell, Price and Zamora",0
100,54.83782206965892,Daniel Jones,2720865373069807,2023-04-24 21:41:56.381715,Phillips Inc,0
101,16.68316365768039,Gregory Turner,2479411752498797,2023-07-28 11:28:32.970182,Sanders-Burch,0
102,318.56879522062644,Shannon Johnson,2720566854720815,2023-06-20 19:43:27.558199,Rodriguez-Kennedy,1
103,157.863634557087,Jennifer Miller,5471045474278003,2023-09-22 00:27:57.625675,Moreno Group,0
104,254.77677489118668,Jerry Werner,2296528709441462,2023-09-08 18:54:55.335759,Buck-Davis,0
105,453.8756704891204,Tyler Goodman,2706894316968014,2023-07-22 07:14:36.970360,Miller-Cline,1
106,125.3968223452886,Dana Martin,2271936025069058,2022-12-16 02:47:48.025099,"King, Charles and Miles",0
107,205.78107859477925,Beverly Singh,2239772405961890,2023-05-06 23:05:13.745190,Phillips-Davis,0
108,378.0200181329813,Roger Jones,5560535646276333,2023-11-16 06:37:47.556554,Smith Inc,0
109,115.1702845803196,Matthew Hess,2292379532287225,2023-02-10 17:47:14.160199,Carlson Inc,0
110,39.412975004567706,Robert Fitzgerald,5508976693031715,2023-04-11 17:53:38.671885,"Burnett, Hull and Garcia",0
111,145.58597500397025,Anthony Anderson,5107185271734477,2023-04-29 05:28:14.261105,Brock Ltd,0
112,81.44942233974821,Randy Ellison,2701414774696323,2023-04-28 21:17:49.801663,Patterson-Lee,0
113,464.919128518944,Carolyn Morrison,5406221601295596,2023-01-12 10:06:28.043341,"Day, Escobar and Nguyen",0
114,404.25206940264405,Michael Scott,5377862201333678,2023-06-21 10:43:04.079659,"Mcintosh, Mckinney and James",0
115,317.06847449870133,Natalie Cooper,2507358150981740,2023-04-22 08:11:34.718870,White PLC,0
116,435.8588345036711,Kathy Mitchell,2293466931522945,2023-08-23 23:44:49.175686,Andersen-Acosta,0
117,402.0323663726581,Cynthia Murray,2702957823545601,2023-01-22 19:47:14.320644,"Mills, Becker and Garcia",0
118,94.09845938413189,Sara Parks,5243111837047100,2023-07-20 07:49:05.612581,"Klein, Pittman and Callahan",0
119,446.3869402464989,Kimberly Taylor,5134412683710359,2023-02-12 16:36:28.706570,James-Benson,0
120,270.1317787159097,Jessica Ross,2297150584078654,2023-01-26 04:51:46.996933,Turner Inc,0
121,403.9126374268672,William Bailey,2720734949835366,2022-12-22 22:30:03.410215,Williams-Martinez,0
122,448.1495586618231,Jose Johnson,2286928930731016,2023-09-24 20:42:00.693826,Kennedy Ltd,1
123,159.68373401096008,Jodi Green,5302169266928040,2023-06-01 01:48:58.755780,"Meyer, Richard and Chan",0
124,55.915910339310706,Katrina Nguyen,2713313525885225,2023-11-30 08:02:49.294392,"Perez, Brown and Gray",0
125,114.7396461084289,Angel Richardson,5465533483188642,2023-02-07 23:00:04.330640,"Sullivan, Raymond and Logan",0
126,214.1267865245019,Laura Brown,2225109633548452,2023-11-12 22:49:17.242079,Price-Huff,0
127,409.18936819532405,Nicole Barnes,2275108101550478,2023-08-29 07:57:15.658393,"Jones, Wilson and Williams",0
128,430.50456104491536,Cassandra Bell,2720216827189827,2023-08-03 19:43:20.063127,Garcia-Schaefer,0
129,4.469113135064161,Cindy Wright,5113411057060941,2023-06-18 04:47:32.671609,West-Perez,0
130,255.8629039862053,Vincent Perez,2293122490434192,2023-11-08 11:27:08.200731,"Morgan, Moore and Nichols",0
131,209.28809057124073,Kenneth Middleton,5412111547986444,2023-08-19 12:15:18.350347,Sherman Group,0
132,111.83179742489439,Mr. William Kidd MD,2288328770646812,2023-06-20 13:18:49.837981,Carter-Ramsey,0
133,60.81281829950772,Frank Thomas,2720392699034480,2023-06-06 17:17:59.839801,"Kim, Hall and Duncan",0
134,169.46997053041034,Adrian Yoder,2298860590034363,2023-10-23 18:42:03.860361,York and Sons,0
135,471.51194225234707,Darrell Williamson,5103116196188857,2022-12-30 20:21:06.017283,"Becker, Hoffman and Hartman",0
136,162.27826307835687,Holly Oneal,2224988923852059,2023-08-30 17:08:18.557434,Gill-Barker,0
137,259.8765202499397,Jane Hanna,5508959427733434,2023-05-08 18:15:14.510888,Reid Inc,0
138,351.80646048869374,Keith Baird,2224247982896659,2023-11-12 08:45:24.460176,Robinson Group,0
139,182.4511715872677,Anthony Savage,5593867650125747,2023-03-10 14:16:40.508266,Reyes-Massey,0
140,485.91925927775935,Willie Bailey,5249384804853305,2023-07-11 22:22:50.068581,"Johnson, Jones and Allen",0
141,481.2612001761135,Steven Solomon,5430962256794124,2023-04-21 02:34:59.270247,"Collier, Martin and Sharp",0
142,126.63936561685671,Michael Haley,2230310610571243,2023-12-06 09:24:03.016515,Casey-Mosley,0
143,249.12700444030034,Lori Dixon,2251213816208871,2023-10-16 09:53:05.270876,"Griffith, Fernandez and Ali",0
144,151.13827659856807,Maureen Thomas,2294954958440173,2022-12-28 07:34:53.369000,"Cordova, Durham and Herrera",0
145,143.13540669435633,Dawn Rivera,2228907524286943,2023-01-11 20:53:29.795355,Hebert-Simon,0
146,19.406586729911865,Donna Simpson,2278694435479010,2023-01-29 15:11:56.571482,Rivera Group,0
147,305.17260265596855,Jennifer Leonard,2285785041897842,2023-12-03 04:41:31.268535,Wheeler Group,0
148,251.83683259120187,Eric Hill,5290791960319160,2023-10-20 11:27:06.208352,Donaldson-Barker,0
149,26.687896873744688,Gary Rodgers,5532718684428975,2023-11-11 17:10:30.607764,Foster Group,0
150,140.0445856540691,Timothy Price,2666048514757772,2023-01-07 00:09:42.736163,Meadows-Smith,0
151,454.2246770973602,Samantha Mayo,2713665590265470,2023-05-28 03:13:01.777005,"Cook, Clark and Werner",0
152,120.54138344281924,Laurie Fields,2298201056160931,2023-10-21 07:42:00.653921,Watts LLC,0
153,73.30254117352032,Kelly Salazar,2718452554252645,2023-02-23 02:38:45.791955,Barajas PLC,0
154,245.23692737850394,Andrew Perez,2707455838022257,2023-08-15 18:57:47.498113,Contreras and Sons,0
155,492.8395766011898,Jennifer Ward,2683060128660176,2023-06-29 03:22:48.725480,Williams PLC,0
156,121.78558048423871,John Mcguire,5395808974693143,2023-03-20 18:17:14.800737,Fitzpatrick-Andrews,0
157,336.3956381555334,Jacqueline Williams,2305670761019148,2023-01-01 01:26:13.861191,Butler-Owen,0
158,381.04818804903005,Sherri Harvey,2720796804741070,2023-04-21 03:21:07.547273,Thompson PLC,0
159,119.58113445220744,Robert Cross,2632730091053680,2023-11-04 11:11:36.947339,Bright Ltd,0
160,364.3799579573179,Travis Mccarthy,2595518020960561,2023-06-27 21:58:42.826965,"Smith, Mclean and Lewis",0
161,184.52378322690737,Lisa Mack DDS,2228196921405005,2023-10-14 00:50:50.585788,"Miranda, Morgan and Kelly",0
162,316.52060946619616,Carolyn Marks,2294525417844674,2023-04-05 14:29:32.264717,Gomez LLC,0
163,317.1313256696865,Dr. Kevin Mccoy,2299962282751152,2023-03-02 03:31:32.616505,"Mcclain, Smith and Anderson",0
164,268.35156735330446,Dawn Henry,2312461917935465,2023-09-08 19:04:06.956172,"Nelson, Torres and Wong",0
165,46.05459525714974,Kevin Guzman,2700031529743233,2023-01-05 18:41:28.382537,"Jenkins, Brown and Fleming",0
166,417.81594529902975,Nicole Fitzgerald,2382149225751881,2023-04-14 22:28:15.606613,Sharp PLC,0
167,161.0692524208962,Alex Morales,2230083742758463,2023-05-08 17:50:36.591418,Schmidt-Hess,0
168,94.07273668952726,Theresa Thomas,2637263169854842,2023-02-15 11:37:47.747231,Taylor-Mcbride,0
169,21.346795635827196,Leah Mathis,2249112631336385,2023-03-12 06:21:56.182077,Stevens Inc,0
170,295.85557865093267,Brenda Carpenter,2256707726036137,2023-04-25 03:03:00.531513,Gibson-Hamilton,0
171,339.1046165592989,Alyssa Sparks,2280340672071021,2023-02-03 17:52:08.259707,Dillon and Sons,0
172,9.27732663500022,Joseph Hubbard,2483666841589989,2023-02-21 05:00:51.554519,Salazar-Freeman,1
173,256.5344360913412,John Garcia,2684746676090175,2023-05-02 17:24:19.128788,Lang Ltd,0
174,114.02139182377104,Kayla Melton,2242035952855385,2023-02-03 07:20:01.015077,"Pham, Horton and Fischer",0
175,322.94122241431546,April Young,2284231453995544,2023-09-15 07:09:41.949306,"Ryan, Johnston and Moore",0
176,88.00884807349073,Dr. David Harrison,2702588356461245,2023-08-18 12:22:17.114801,"Zimmerman, Lewis and Anderson",0
177,345.7779313131305,Alejandra Burnett,5221667896511670,2023-01-13 21:29:24.447974,Cruz LLC,0
178,193.98093780396817,Sharon Taylor,2269561866543260,2023-02-13 18:15:21.447058,Young-Ingram,0
179,468.42826437963055,Rita Wilson,2225643390591164,2023-02-10 21:52:02.715738,Watson-Hill,0
180,69.62295112885063,Carolyn Valencia,5238979944307154,2022-12-29 14:26:56.211553,Jones PLC,0
181,171.192109174079,Ryan Hickman,2582058223738436,2023-07-17 19:38:40.128374,Brown LLC,1
182,57.62328709905395,James Lane,2711455684679154,2023-09-10 13:15:17.076845,"Reed, Jenkins and Perez",0
183,462.4221155210028,Christopher Sanchez,2720088027224203,2023-11-18 16:55:26.173935,"Stevenson, Ball and Wilson",0
184,438.79233733710953,Adrian Gomez,2720895684018474,2023-09-23 23:11:07.865073,Jones-Beck,0
185,129.71287222986265,Justin Goodman,5222946037485872,2023-07-07 09:45:49.415341,"Love, Goodman and Porter",0
186,330.33203897105534,Howard Berry,2690876935491096,2023-08-15 06:55:44.265654,White-Bowman,0
187,408.7938779004067,Stephanie Garcia,2511586861983415,2023-10-16 01:17:46.993175,Cruz-Faulkner,0
188,278.04520498813173,Nicole Hicks,2679637648551187,2023-07-17 23:43:35.608597,"White, Garner and Clay",0
189,265.29563859964725,Heather Villarreal DVM,2240010004846312,2023-08-29 12:39:39.115124,Adams-Mitchell,0
190,121.68429315932539,Amber Williams,2706476705436520,2023-09-17 03:24:40.720968,Myers and Sons,0
191,47.45828113514371,Samantha Williams,5122670320412721,2023-10-03 15:58:28.804033,Suarez LLC,0
192,448.71066321871007,Andrea Suarez,2720876922011398,2023-01-24 03:41:25.097971,"Greene, Lewis and Garcia",0
193,450.3086105245019,Matthew Cunningham,2228685820853570,2023-09-16 22:26:02.630625,Salazar-Ramos,0
194,316.9176271793607,Susan Parker,2640525885497154,2023-10-18 02:13:49.085205,Lopez Inc,0
195,170.17586573330163,Dana Cole,2713275012371789,2023-02-17 18:00:19.431476,Massey PLC,0
196,175.25557773171778,Sean Hunter,5349305471661423,2023-01-22 04:30:29.235236,Smith Ltd,0
197,363.25188375624947,Tammy Houston,5309936614565176,2023-09-23 10:24:28.102861,"Stewart, Waters and Davis",1
198,448.65801971633596,Allen Lee,2284465266886959,2023-05-06 13:30:34.183682,Foster-Pitts,1
199,443.65612570829353,Heather Blake,2277218768057226,2023-11-13 22:48:26.556032,"Chen, Hunt and Barrera",0
200,390.15789738295433,Sean Phillips,2228763296730109,2023-03-14 03:00:27.536327,Phillips-Day,0
201,321.37379143098957,Tammy Allen,2222607820723849,2023-05-07 21:49:24.408120,Wilson Group,0
202,42.98584253252937,Krystal Foster,5323800994415471,2023-04-02 12:37:18.567724,"Rodriguez, Parks and Hart",0
203,81.65272833321227,Megan Valentine,2290241423666655,2023-09-21 21:57:21.509341,Freeman Inc,0
204,449.37854007501255,John Simon,2285591527901003,2023-03-29 22:34:13.114615,Hurst-Rivera,0
205,303.60810077013537,Daniel Johnson,2265013626036866,2023-06-18 21:43:24.652092,"Hernandez, Dunn and Marshall",0
206,5.589328756698194,Joseph Lin,2223425707776361,2022-12-26 13:40:15.832938,Allen-Crawford,0
207,51.63429989015002,Paul Mclean,2576028894908061,2023-11-05 21:39:15.619415,"Wheeler, Lawson and Lopez",0
208,332.08738278491984,Derek Edwards,2292842717348237,2023-04-10 21:23:30.176411,Mason PLC,0
209,3.5257303392631245,Madison Young,2275496571884786,2023-02-18 20:39:14.573693,"Graham, Colon and Rodriguez",0
210,81.24321765733183,Kaylee Peterson,2720811934451076,2023-12-01 13:44:14.441492,Ritter-Chavez,1
211,274.81816089392646,Richard Graham,2664268691521393,2023-05-07 08:06:18.112275,Scott-Lopez,0
212,346.25570364865393,Daniel Austin,2281697364956515,2023-12-01 22:47:23.175489,Dunn and Sons,0
213,326.32866849179766,Veronica Joseph,2720015516055491,2023-08-06 04:22:11.967854,Stanley Ltd,0
214,112.91038542081934,Duane Frederick,2248610419582758,2023-09-15 04:53:20.315314,West PLC,0
215,356.3774314524204,Jared Cole,5536804387956037,2023-09-26 18:13:40.373195,Robertson-Deleon,0
216,119.38729466090324,Danielle Thomas,2510382855927324,2023-07-17 23:34:06.778316,"Taylor, Gallegos and Scott",0
217,163.3744493814746,Marc Garcia,2286040997571788,2023-10-15 02:53:51.956607,"Green, Coleman and Tucker",0
218,373.49921115389407,Eric Hunt,2720438961720908,2023-03-05 12:45:19.899986,Patterson-Jackson,0
219,325.1668166245601,Sara Benson,2600470592678788,2023-07-02 06:27:32.826088,Hahn LLC,0
220,424.7624818365948,Thomas Evans,2262855084630009,2023-01-05 10:39:40.473477,Holmes-Peters,0
221,329.14883325787133,Dana Cruz,2298292009537002,2023-07-22 13:57:44.128673,Massey-Leach,1
222,284.5859930644003,Russell Williams,2239976003586146,2023-05-28 06:54:20.107202,Parsons-Marshall,0
223,47.743709146218144,Stacy Brown,2709979109771324,2023-09-10 04:04:37.237692,Eaton Ltd,0
224,184.49018572665733,Jason King,2236166757298022,2022-12-13 20:02:39.873024,Perez Group,0
225,133.335981473181,John Smith,2720731209208763,2023-08-17 13:49:11.280156,Osborn-Lee,0
226,122.7508320461627,Melanie Webb,5470936113813278,2023-06-21 19:47:19.842790,Shannon Inc,0
227,486.53226682147033,Melissa Day,2223423023250443,2023-05-08 23:45:16.948859,Martinez-Malone,0
228,197.15576460871344,Julie Turner,2265193106814964,2023-05-24 13:41:38.718490,"Salazar, Stephens and Bell",0
229,446.13123103337955,Ricky Vaughan,2261888395385782,2023-04-10 02:34:36.141116,White-Smith,1
230,315.9381743726342,Aaron Martinez,2514049961848365,2023-09-14 12:42:14.536551,Parker Inc,0
231,397.61084046728257,Daniel Reyes,2232187321309859,2023-11-27 09:58:33.594101,Mitchell Ltd,0
232,251.81590945949085,Brian Vega,5190524928461936,2023-08-08 04:13:41.441121,King-Hall,0
233,288.8750384285532,Derrick Murphy,2239828011019240,2023-04-09 05:56:24.398197,Chambers-Barron,0
234,246.7663292156131,Gary Barrera,2286271172718577,2023-06-10 05:21:09.504241,Parks and Sons,0
235,98.4262509112242,Jason Daniel,5440705958424377,2023-04-27 13:42:39.266228,Perry and Sons,0
236,361.50360551549113,Willie Walker,2524461843789352,2023-11-13 09:45:26.837030,"Ellis, Rowe and Dunn",0
237,141.10540885798704,Amanda Castro,2256967893058997,2023-11-28 21:48:42.497182,"Burton, Moss and Bradford",0
238,13.133667249295465,Heather Mcknight,5599081478057165,2023-09-28 01:48:53.744641,Roberts-Wilson,0
239,323.09067565767674,Carlos Bennett,2244867832121911,2023-10-11 17:16:36.700470,"Bryant, Martinez and Dawson",1
240,89.37822902411742,Cody Richards,2537052714053831,2022-12-20 10:35:25.786166,"Holloway, Gonzalez and Perez",0
241,470.28883359210425,Michelle Scott,2276093324494945,2023-11-12 19:48:52.579013,Mann Group,0
242,477.0103599242911,Rachel Waller,2720996199680541,2022-12-20 15:17:33.858602,Marks Inc,0
243,457.5173307200038,Andrew Green,2284429131895520,2023-04-18 23:23:54.562194,Nunez-White,0
244,185.70919142746675,Frederick Cruz,2296322900834224,2023-03-22 11:26:49.106366,"Nelson, Burton and Grant",0
245,8.712851647904847,Richard Wyatt,5238094894785951,2023-07-04 18:33:02.115374,Mitchell PLC,0
246,464.230962731275,James Skinner,2276392553739107,2023-10-13 03:42:00.934844,"James, Ray and Ellis",0
247,214.66389001033986,Kathleen Bass,5161145631322804,2023-02-19 12:40:47.309364,"Kim, Davis and Davis",0
248,483.3607547027911,Lauren Carr,2262380209789234,2023-10-29 08:45:19.358682,Robbins-Monroe,0
249,481.8463685675372,Kristin Cruz,5278034429593133,2023-10-27 12:10:59.287797,"Miller, Brewer and Casey",0
250,426.6517182782127,Julia Mitchell,2685052919936590,2022-12-26 02:26:46.934945,Thompson and Sons,0
251,147.92999714272327,Sean Pierce,2243203114877791,2023-06-22 05:23:19.375685,Scott-Dixon,0
252,193.16376657236071,Amanda Lopez,2531289145121920,2023-10-06 13:20:21.956761,Hernandez-Lewis,0
253,425.7171990869116,Kimberly Smith,2321419483789582,2023-08-21 15:48:39.418398,Reilly and Sons,0
254,159.14408057298255,Dr. Devin Adams,2317867929800726,2023-02-18 11:36:49.970732,Hernandez Group,0
255,85.57688059636016,Paul Duffy,5110132877100096,2023-01-12 22:07:54.617767,Rodriguez Ltd,0
256,278.8438299667167,Miss Anita Austin,2235620047940547,2023-10-11 22:34:49.008563,Taylor LLC,0
257,468.1412323062297,Mr. Robert Williams,2298055079413457,2023-04-14 22:55:57.063101,Simmons-Rosario,0
